id,title,description,availability,condition,price,sale_price,link,image_link,brand,product_type,custom_label_0,custom_label_1,custom_label_2,custom_label_3
shp-22736011414,Lava Roupas Lavanderia Pro Líquido 7L Omo,Lava Roupas Lavanderia Pro Líquido 7L Omo - Disponível em Shopee. Compare preços e compre com segurança no MarketPay.,in stock,new,99.00 BRL,70.99 BRL,https://marketpaycommerce.com.br/produto/shp-22736011414?utm_source=meta&utm_medium=cpc&utm_campaign=catalog_casa-decoracao&utm_content=2026-03-22,https://cf.shopee.com.br/file/sg-11134201-7rau5-mau62igmy63506,Braslimpo,Casa & Decoração,Shopee,Casa & Decoração,15-29% OFF,Frete Pago
shp-29467661698,Skin1004 Madagascar Centella Poremizing Quick Clay Stick Mask 27g,Skin1004 Madagascar Centella Poremizing Quick Clay Stick Mask 27g - Disponível em Shopee. Compare preços e compre com segurança no MarketPay.,in stock,new,140.00 BRL,101.50 BRL,https://marketpaycommerce.com.br/produto/shp-29467661698?utm_source=meta&utm_medium=cpc&utm_campaign=catalog_beleza-saude&utm_content=2026-03-22,https://cf.shopee.com.br/file/sg-11134207-7rfhl-m3muoaio9hsw34,koksara.kbeauty,Beleza & Saúde,Shopee,Beleza & Saúde,15-29% OFF,Frete Pago
shp-9915116593,Principia Kit Trio Hidratação E Anti-manchas,Principia Kit Trio Hidratação E Anti-manchas - Disponível em Shopee. Compare preços e compre com segurança no MarketPay.,in stock,new,189.99 BRL,152.00 BRL,https://marketpaycommerce.com.br/produto/shp-9915116593?utm_source=meta&utm_medium=cpc&utm_campaign=catalog_beleza-saude&utm_content=2026-03-22,https://cf.shopee.com.br/file/br-11134207-7r98o-m0did1rrloppae,Principia Skincare,Beleza & Saúde,Shopee,Beleza & Saúde,15-29% OFF,Frete Pago
shp-23129551178,Lola Cosmetics Dream Cream Máscara de Hidratação 200g,Lola Cosmetics Dream Cream Máscara de Hidratação 200g - Disponível em Shopee. Compare preços e compre com segurança no MarketPay.,in stock,new,39.90 BRL,,https://marketpaycommerce.com.br/produto/shp-23129551178?utm_source=meta&utm_medium=cpc&utm_campaign=catalog_beleza-saude&utm_content=2026-03-22,https://cf.shopee.com.br/file/sg-11134201-23030-csw8sbcq2bovb0,AMOBELEZA,Beleza & Saúde,Shopee,Beleza & Saúde,Sem desconto,Frete Pago
shp-23529544620,Lola Cosmetics Pinga! Açaí e Pracaxi Óleo Capilar 50ml,Lola Cosmetics Pinga! Açaí e Pracaxi Óleo Capilar 50ml - Disponível em Shopee. Compare preços e compre com segurança no MarketPay.,in stock,new,24.90 BRL,,https://marketpaycommerce.com.br/produto/shp-23529544620?utm_source=meta&utm_medium=cpc&utm_campaign=catalog_beleza-saude&utm_content=2026-03-22,https://cf.shopee.com.br/file/sg-11134201-23030-11brdehq2bov58,AMOBELEZA,Beleza & Saúde,Shopee,Beleza & Saúde,Sem desconto,Frete Pago
shp-21396905216,"I'm From Rice Toner 150ml, 30ml","I'm From Rice Toner 150ml, 30ml - Disponível em Shopee. Compare preços e compre com segurança no MarketPay.",in stock,new,219.00 BRL,129.00 BRL,https://marketpaycommerce.com.br/produto/shp-21396905216?utm_source=meta&utm_medium=cpc&utm_campaign=catalog_beleza-saude&utm_content=2026-03-22,https://cf.shopee.com.br/file/sg-11134207-7rcd2-ltddur5g3lij1c,koksara.kbeauty,Beleza & Saúde,Shopee,Beleza & Saúde,30-49% OFF,Frete Pago
shp-16271693872,"BEAUTY OF JOSEON Relief Sun: Rice + Probiotics (SPF50+ PA++++) 10ml,50ml/Aqua sun 50ml","BEAUTY OF JOSEON Relief Sun: Rice + Probiotics (SPF50+ PA++++) 10ml,50ml/Aqua sun 50ml - Disponível em Shopee. Compare preços e compre com segurança no MarketPay.",in stock,new,100.00 BRL,77.68 BRL,https://marketpaycommerce.com.br/produto/shp-16271693872?utm_source=meta&utm_medium=cpc&utm_campaign=catalog_beleza-saude&utm_content=2026-03-22,https://cf.shopee.com.br/file/sg-11134207-7rbmu-m5xqej5pvgiz13,koksara.kbeauty,Beleza & Saúde,Shopee,Beleza & Saúde,15-29% OFF,Frete Pago
shp-23595913679,Lixo Lixeira 10 Litros Sistema Anti Odor Para Fraldas Bebe Resíduos Banheiro Cozinha Pet Babybê Agrantt,Lixo Lixeira 10 Litros Sistema Anti Odor Para Fraldas Bebe Resíduos Banheiro Cozinha Pet Babybê Agrantt - Disponível em Shopee. Compare preços e compre com segurança no MarketPay.,in stock,new,197.58 BRL,139.93 BRL,https://marketpaycommerce.com.br/produto/shp-23595913679?utm_source=meta&utm_medium=cpc&utm_campaign=catalog_casa-decoracao&utm_content=2026-03-22,https://cf.shopee.com.br/file/sg-11134201-7qvcr-lhnnn3ipaz596b,BRESTER MÁQUINAS E FERRAMENTAS,Casa & Decoração,Shopee,Casa & Decoração,15-29% OFF,Frete Pago
shp-23998566404,Kit 2 Lava Roupas liquido Zulu perfumes/Coala 3L,Kit 2 Lava Roupas liquido Zulu perfumes/Coala 3L - Disponível em Shopee. Compare preços e compre com segurança no MarketPay.,in stock,new,91.70 BRL,62.89 BRL,https://marketpaycommerce.com.br/produto/shp-23998566404?utm_source=meta&utm_medium=cpc&utm_campaign=catalog_casa-decoracao&utm_content=2026-03-22,https://cf.shopee.com.br/file/sg-11134201-7rav7-masavruc3y3mcb,Coala Essências Oficial,Casa & Decoração,Shopee,Casa & Decoração,30-49% OFF,Frete Pago
shp-2980827890,Cuba para cozinha gourmet aço inox com acessórios e tábua de corte Nawa 50 cm e Torneira gourmet Munim Pingoo,Cuba para cozinha gourmet aço inox com acessórios e tábua de corte Nawa 50 cm e Torneira gourmet Munim Pingoo - Disponível em Shopee. Compare preços e compre com segurança no MarketPay.,in stock,new,670.90 BRL,579.90 BRL,https://marketpaycommerce.com.br/produto/shp-2980827890?utm_source=meta&utm_medium=cpc&utm_campaign=catalog_casa-decoracao&utm_content=2026-03-22,https://cf.shopee.com.br/file/sg-11134201-7rbm7-llwgvr8tqzbff1,Pingoo,Casa & Decoração,Shopee,Casa & Decoração,1-14% OFF,Frete Pago
